text,label
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
Share your bank statement and OTP to verify you are not involved in the Customs Department money laundering case.,fake_cbi
Share your bank statement and OTP to verify you are not involved in the the Supreme Court money laundering case.,fake_cbi
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Your Aadhaar card was used to open 3 bank accounts for money laundering. You must transfer a security deposit of Rs 5,00,000 lakh.",digital_arrest
"Hello, this is Officer Sharma from Enforcement Directorate. We have intercepted a package in your name containing counterfeit currency.",digital_arrest
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"Hi, I'm calling from BlueDart regarding your order. I am at the gate.",safe
Can you pick up some groceries on your way back home?,safe
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
"To verify your accounts, please send 50 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
Share your bank statement and OTP to verify you are not involved in the Enforcement Directorate money laundering case.,fake_cbi
"Hello, this is Axis Bank customer service. How can I help you today?",safe
Your SBI account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
Share your bank statement and OTP to verify you are not involved in the Cyber Crime Branch money laundering case.,fake_cbi
"Congratulations! You have won a lottery of Rs 98,000 lakh. Click the link to claim your prize.",phishing
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"Hey man, what time are we meeting for dinner tonight?",safe
"Hey man, what time are we meeting for dinner tonight?",safe
Your HDFC account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
We are calling from Cyber Crime Branch headquarters. We found your mobile number linked to illegal activities.,fake_cbi
This is Customs Department calling. Your name came up in a human trafficking investigation.,fake_cbi
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
"Hey man, what time are we meeting for dinner tonight?",safe
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
"Hello, this is Officer Sharma from the CBI. We have intercepted a package in your name containing illegal narcotics.",digital_arrest
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
We are calling from Cyber Crime Branch headquarters. We found your mobile number linked to illegal activities.,fake_cbi
"To verify your accounts, please send 5 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
We are calling from the CBI headquarters. We found your mobile number linked to illegal activities.,fake_cbi
Your Paytm account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
Congratulations! You have won a lottery of Rs 5 lakh. Click the link to claim your prize.,phishing
"Hello, this is Officer Sharma from Customs Department. We have intercepted a package in your name containing illegal narcotics.",digital_arrest
"Sir, we need to record your statement on video call for the the CBI investigation.",fake_cbi
"Hello, this is SBI customer service. How can I help you today?",safe
We are calling from the Supreme Court headquarters. We found your mobile number linked to illegal activities.,fake_cbi
"To verify your accounts, please send 5 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"Sir, we need to record your statement on video call for the Enforcement Directorate investigation.",fake_cbi
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
Your HDFC account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
Congratulations! You have won a lottery of Rs 2 lakh. Click the link to claim your prize.,phishing
Can you pick up some groceries on your way back home?,safe
"Hello, this is ICICI customer service. How can I help you today?",safe
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
Can you pick up some groceries on your way back home?,safe
"You have to pay a penalty of 5,00,000 rupees immediately to close the Enforcement Directorate case against you.",fake_cbi
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Sir, we need to record your statement on video call for the the CBI investigation.",fake_cbi
"Hi, I'm calling from Swiggy regarding your order. I am at the gate.",safe
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
"Hey man, what time are we meeting for dinner tonight?",safe
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
We are calling from Cyber Crime Branch headquarters. We found your mobile number linked to illegal activities.,fake_cbi
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"To verify your accounts, please send 10 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
You have to pay a penalty of 50 rupees immediately to close the Mumbai Police case against you.,fake_cbi
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
"Hey man, what time are we meeting for dinner tonight?",safe
Share your bank statement and OTP to verify you are not involved in the the Supreme Court money laundering case.,fake_cbi
Congratulations! You have won a lottery of Rs 2 lakh. Click the link to claim your prize.,phishing
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
You have to pay a penalty of 5 rupees immediately to close the the CBI case against you.,fake_cbi
You have to pay a penalty of 5 rupees immediately to close the the CBI case against you.,fake_cbi
Your Axis Bank account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"Hello, this is HDFC customer service. How can I help you today?",safe
"To verify your accounts, please send 98,000 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
"Hello, this is SBI customer service. How can I help you today?",safe
"Sir, we need to record your statement on video call for the the CBI investigation.",fake_cbi
Your Aadhaar card was used to open 12 bank accounts for money laundering. You must transfer a security deposit of Rs 5 lakh.,digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
"Hello, this is Officer Sharma from the CBI. We have intercepted a package in your name containing smuggled gold.",digital_arrest
"Sir, we need to record your statement on video call for the the Supreme Court investigation.",fake_cbi
This is Cyber Crime Branch calling. Your name came up in a human trafficking investigation.,fake_cbi
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
"Sir, we need to record your statement on video call for the Enforcement Directorate investigation.",fake_cbi
"Your Aadhaar card was used to open 3 bank accounts for money laundering. You must transfer a security deposit of Rs 98,000 lakh.",digital_arrest
Can you pick up some groceries on your way back home?,safe
You have to pay a penalty of 2 rupees immediately to close the Enforcement Directorate case against you.,fake_cbi
Your Aadhaar card was used to open 12 bank accounts for money laundering. You must transfer a security deposit of Rs 50 lakh.,digital_arrest
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Hey man, what time are we meeting for dinner tonight?",safe
This is Mumbai Police calling. Your name came up in a human trafficking investigation.,fake_cbi
"Hey man, what time are we meeting for dinner tonight?",safe
Your Aadhaar card was used to open 3 bank accounts for money laundering. You must transfer a security deposit of Rs 5 lakh.,digital_arrest
Congratulations! You have won a lottery of Rs 5 lakh. Click the link to claim your prize.,phishing
Congratulations! You have won a lottery of Rs 2 lakh. Click the link to claim your prize.,phishing
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Hello, this is Officer Sharma from the CBI. We have intercepted a package in your name containing counterfeit currency.",digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
This is SBI customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"To verify your accounts, please send 5 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"To verify your accounts, please send 98,000 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"Hi, I'm calling from BlueDart regarding your order. I am at the gate.",safe
Can you pick up some groceries on your way back home?,safe
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
This is Mumbai Police calling. Your name came up in a human trafficking investigation.,fake_cbi
Congratulations! You have won a lottery of Rs 5 lakh. Click the link to claim your prize.,phishing
Your SBI account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"To verify your accounts, please send 5,00,000 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
We are calling from the CBI headquarters. We found your mobile number linked to illegal activities.,fake_cbi
This is Enforcement Directorate calling. Your name came up in a human trafficking investigation.,fake_cbi
"Sir, we need to record your statement on video call for the Cyber Crime Branch investigation.",fake_cbi
Share your bank statement and OTP to verify you are not involved in the Customs Department money laundering case.,fake_cbi
Your SBI account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
Your ICICI account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"To verify your accounts, please send 5,00,000 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
Congratulations! You have won a lottery of Rs 10 lakh. Click the link to claim your prize.,phishing
Your PhonePe account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
"Hello, this is ICICI customer service. How can I help you today?",safe
"We noticed unusual activity on your Paytm account. To stop the transaction, please provide the 6-digit OTP.",phishing
You have to pay a penalty of 5 rupees immediately to close the the CBI case against you.,fake_cbi
Can you pick up some groceries on your way back home?,safe
We are calling from the CBI headquarters. We found your mobile number linked to illegal activities.,fake_cbi
"Hi, I'm calling from Zomato regarding your order. I am at the gate.",safe
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
Your Axis Bank account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
Your HDFC account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
This is Paytm customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"We noticed unusual activity on your Axis Bank account. To stop the transaction, please provide the 6-digit OTP.",phishing
"We noticed unusual activity on your Axis Bank account. To stop the transaction, please provide the 6-digit OTP.",phishing
"Sir, we need to record your statement on video call for the Mumbai Police investigation.",fake_cbi
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
This is Customs Department calling. Your name came up in a human trafficking investigation.,fake_cbi
Your Aadhaar card was used to open 5 bank accounts for money laundering. You must transfer a security deposit of Rs 50 lakh.,digital_arrest
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
Share your bank statement and OTP to verify you are not involved in the Enforcement Directorate money laundering case.,fake_cbi
"Sir, we need to record your statement on video call for the Mumbai Police investigation.",fake_cbi
"Hello, this is Officer Sharma from Cyber Crime Branch. We have intercepted a package in your name containing illegal narcotics.",digital_arrest
This is Axis Bank customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Sir, we need to record your statement on video call for the Cyber Crime Branch investigation.",fake_cbi
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
You have to pay a penalty of 5 rupees immediately to close the the Supreme Court case against you.,fake_cbi
Your Axis Bank account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
You have to pay a penalty of 10 rupees immediately to close the the Supreme Court case against you.,fake_cbi
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Sir, we need to record your statement on video call for the Cyber Crime Branch investigation.",fake_cbi
"Hello, this is Officer Sharma from Cyber Crime Branch. We have intercepted a package in your name containing smuggled gold.",digital_arrest
"To verify your accounts, please send 5 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"Congratulations! You have won a lottery of Rs 98,000 lakh. Click the link to claim your prize.",phishing
"Sir, we need to record your statement on video call for the the Supreme Court investigation.",fake_cbi
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
"Sir, we need to record your statement on video call for the Customs Department investigation.",fake_cbi
"Hello, this is PhonePe customer service. How can I help you today?",safe
"Hello, this is PhonePe customer service. How can I help you today?",safe
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"Hello, this is Paytm customer service. How can I help you today?",safe
"Hi, I'm calling from Flipkart regarding your order. I am at the gate.",safe
This is the Supreme Court calling. Your name came up in a human trafficking investigation.,fake_cbi
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
Your PhonePe account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
You have to pay a penalty of 10 rupees immediately to close the the Supreme Court case against you.,fake_cbi
Share your bank statement and OTP to verify you are not involved in the Mumbai Police money laundering case.,fake_cbi
"Sir, we need to record your statement on video call for the the Supreme Court investigation.",fake_cbi
Your Aadhaar card was used to open 3 bank accounts for money laundering. You must transfer a security deposit of Rs 50 lakh.,digital_arrest
Can you pick up some groceries on your way back home?,safe
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
You have to pay a penalty of 2 rupees immediately to close the Enforcement Directorate case against you.,fake_cbi
Can you pick up some groceries on your way back home?,safe
"Hi, I'm calling from Zomato regarding your order. I am at the gate.",safe
"Hello, this is Officer Sharma from Mumbai Police. We have intercepted a package in your name containing counterfeit currency.",digital_arrest
"Hello, this is Officer Sharma from Customs Department. We have intercepted a package in your name containing counterfeit currency.",digital_arrest
"Sir, we need to record your statement on video call for the Enforcement Directorate investigation.",fake_cbi
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"To verify your accounts, please send 2 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
We are calling from Customs Department headquarters. We found your mobile number linked to illegal activities.,fake_cbi
"Hi, I'm calling from Zomato regarding your order. I am at the gate.",safe
This is the Supreme Court calling. Your name came up in a human trafficking investigation.,fake_cbi
This is HDFC customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"Sir, we need to record your statement on video call for the the CBI investigation.",fake_cbi
"To verify your accounts, please send 5,00,000 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
This is the Supreme Court calling. Your name came up in a human trafficking investigation.,fake_cbi
"Hi, I'm calling from Flipkart regarding your order. I am at the gate.",safe
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
Your PhonePe account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
Can you pick up some groceries on your way back home?,safe
"To verify your accounts, please send 50 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"Hey man, what time are we meeting for dinner tonight?",safe
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"Congratulations! You have won a lottery of Rs 98,000 lakh. Click the link to claim your prize.",phishing
Can you pick up some groceries on your way back home?,safe
Your PhonePe account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"Hello, this is Axis Bank customer service. How can I help you today?",safe
"To verify your accounts, please send 50 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"You have to pay a penalty of 98,000 rupees immediately to close the Mumbai Police case against you.",fake_cbi
This is Cyber Crime Branch calling. Your name came up in a human trafficking investigation.,fake_cbi
This is the Supreme Court calling. Your name came up in a human trafficking investigation.,fake_cbi
"We noticed unusual activity on your SBI account. To stop the transaction, please provide the 6-digit OTP.",phishing
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
You have to pay a penalty of 50 rupees immediately to close the Enforcement Directorate case against you.,fake_cbi
This is SBI customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"To verify your accounts, please send 10 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
Your Aadhaar card was used to open 17 bank accounts for money laundering. You must transfer a security deposit of Rs 2 lakh.,digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
This is PhonePe customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"To verify your accounts, please send 10 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"To verify your accounts, please send 5 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"Hi sir, your appointment with Dr. Singh is confirmed for tomorrow at 10 AM.",safe
This is PhonePe customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"Sir, we need to record your statement on video call for the Customs Department investigation.",fake_cbi
This is Customs Department calling. Your name came up in a human trafficking investigation.,fake_cbi
This is Cyber Crime Branch calling. Your name came up in a human trafficking investigation.,fake_cbi
"Hello, this is Officer Sharma from Enforcement Directorate. We have intercepted a package in your name containing 5 passports and MDMA.",digital_arrest
"Hello, this is HDFC customer service. How can I help you today?",safe
Your ICICI account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
We are calling from Mumbai Police headquarters. We found your mobile number linked to illegal activities.,fake_cbi
Your Aadhaar card was used to open 17 bank accounts for money laundering. You must transfer a security deposit of Rs 2 lakh.,digital_arrest
This is Paytm customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
Your Aadhaar card was used to open 12 bank accounts for money laundering. You must transfer a security deposit of Rs 10 lakh.,digital_arrest
"To verify your accounts, please send 5,00,000 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"Hey man, what time are we meeting for dinner tonight?",safe
"Sir, we need to record your statement on video call for the Mumbai Police investigation.",fake_cbi
This is the Supreme Court calling. Your name came up in a human trafficking investigation.,fake_cbi
This is Axis Bank customer support. Your credit card points are expiring. Share your card details to redeem them.,phishing
We are calling from Mumbai Police headquarters. We found your mobile number linked to illegal activities.,fake_cbi
Your Aadhaar card was used to open 17 bank accounts for money laundering. You must transfer a security deposit of Rs 10 lakh.,digital_arrest
Congratulations! You have won a lottery of Rs 5 lakh. Click the link to claim your prize.,phishing
Your Axis Bank account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"Sir, we need to record your statement on video call for the Mumbai Police investigation.",fake_cbi
"We noticed unusual activity on your HDFC account. To stop the transaction, please provide the 6-digit OTP.",phishing
"Hello, this is Officer Sharma from Enforcement Directorate. We have intercepted a package in your name containing 5 passports and MDMA.",digital_arrest
"Sir, we need to record your statement on video call for the Customs Department investigation.",fake_cbi
"Hello, this is Axis Bank customer service. How can I help you today?",safe
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"We noticed unusual activity on your SBI account. To stop the transaction, please provide the 6-digit OTP.",phishing
You have to pay a penalty of 2 rupees immediately to close the Mumbai Police case against you.,fake_cbi
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
Share your bank statement and OTP to verify you are not involved in the Cyber Crime Branch money laundering case.,fake_cbi
"To verify your accounts, please send 10 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"We noticed unusual activity on your Axis Bank account. To stop the transaction, please provide the 6-digit OTP.",phishing
"We noticed unusual activity on your PhonePe account. To stop the transaction, please provide the 6-digit OTP.",phishing
"You have to pay a penalty of 98,000 rupees immediately to close the the Supreme Court case against you.",fake_cbi
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"Sir, we need to record your statement on video call for the Mumbai Police investigation.",fake_cbi
"To verify your accounts, please send 5 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
This is the CBI calling. Your name came up in a human trafficking investigation.,fake_cbi
"Hello, this is SBI customer service. How can I help you today?",safe
Congratulations! You have won a lottery of Rs 10 lakh. Click the link to claim your prize.,phishing
"Hey man, what time are we meeting for dinner tonight?",safe
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
"Hey man, what time are we meeting for dinner tonight?",safe
"To verify your accounts, please send 5 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
"Hi, I'm calling from Zomato regarding your order. I am at the gate.",safe
Your Aadhaar card was used to open 3 bank accounts for money laundering. You must transfer a security deposit of Rs 50 lakh.,digital_arrest
Congratulations! You have won a lottery of Rs 50 lakh. Click the link to claim your prize.,phishing
"To verify your accounts, please send 98,000 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
Your Aadhaar card was used to open 17 bank accounts for money laundering. You must transfer a security deposit of Rs 10 lakh.,digital_arrest
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
"Hey man, what time are we meeting for dinner tonight?",safe
"Congratulations! You have won a lottery of Rs 5,00,000 lakh. Click the link to claim your prize.",phishing
Your Aadhaar card was used to open 3 bank accounts for money laundering. You must transfer a security deposit of Rs 5 lakh.,digital_arrest
Your Aadhaar card was used to open 3 bank accounts for money laundering. You must transfer a security deposit of Rs 2 lakh.,digital_arrest
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
"Hello, this is Officer Sharma from Enforcement Directorate. We have intercepted a package in your name containing smuggled gold.",digital_arrest
"Hey man, what time are we meeting for dinner tonight?",safe
This is the Supreme Court calling. Your name came up in a human trafficking investigation.,fake_cbi
Congratulations! You have won a lottery of Rs 5 lakh. Click the link to claim your prize.,phishing
You have to pay a penalty of 50 rupees immediately to close the the Supreme Court case against you.,fake_cbi
Your Aadhaar card was used to open 5 bank accounts for money laundering. You must transfer a security deposit of Rs 2 lakh.,digital_arrest
Your OTP for logging into the app is 123456. Do not share this with anyone.,safe
"Congratulations! You have won a lottery of Rs 98,000 lakh. Click the link to claim your prize.",phishing
We are calling from the Supreme Court headquarters. We found your mobile number linked to illegal activities.,fake_cbi
You have to pay a penalty of 2 rupees immediately to close the Cyber Crime Branch case against you.,fake_cbi
"You have to pay a penalty of 98,000 rupees immediately to close the Customs Department case against you.",fake_cbi
Can you pick up some groceries on your way back home?,safe
You have to pay a penalty of 50 rupees immediately to close the the Supreme Court case against you.,fake_cbi
Your PhonePe account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"Hello, this is Officer Sharma from the CBI. We have intercepted a package in your name containing smuggled gold.",digital_arrest
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
"To verify your accounts, please send 5,00,000 to our secure RBI escrow account. It will be refunded in 30 minutes.",digital_arrest
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
You have to pay a penalty of 5 rupees immediately to close the Mumbai Police case against you.,fake_cbi
"Hello, this is Officer Sharma from the Supreme Court. We have intercepted a package in your name containing illegal narcotics.",digital_arrest
"Dear customer, your electricity bill is unpaid. Power will be cut at 9 PM. Call this number to pay.",phishing
Can you pick up some groceries on your way back home?,safe
An FIR has been filed against you. You are under digital arrest. Do not disconnect the call.,digital_arrest
Share your bank statement and OTP to verify you are not involved in the Customs Department money laundering case.,fake_cbi
"Hi, I'm calling from Amazon regarding your order. I am at the gate.",safe
You have to pay a penalty of 10 rupees immediately to close the Customs Department case against you.,fake_cbi
Can you pick up some groceries on your way back home?,safe
Share your bank statement and OTP to verify you are not involved in the Mumbai Police money laundering case.,fake_cbi
"Hello, this is HDFC customer service. How can I help you today?",safe
Congratulations! You have won a lottery of Rs 50 lakh. Click the link to claim your prize.,phishing
"Hey man, what time are we meeting for dinner tonight?",safe
"You have to pay a penalty of 5,00,000 rupees immediately to close the the CBI case against you.",fake_cbi
Share your bank statement and OTP to verify you are not involved in the Customs Department money laundering case.,fake_cbi
Thank you for contacting support. We have initiated your refund of Rs 500.,safe
Your PhonePe account will be blocked today due to pending KYC. Please share the OTP sent to your mobile.,phishing
"Hello, this is Officer Sharma from Cyber Crime Branch. We have intercepted a package in your name containing unlicensed weapons.",digital_arrest
"We noticed unusual activity on your Paytm account. To stop the transaction, please provide the 6-digit OTP.",phishing
"Hello, this is Officer Sharma from the Supreme Court. We have intercepted a package in your name containing smuggled gold.",digital_arrest
"Hello, this is Paytm customer service. How can I help you today?",safe
"If you disconnect this Skype call, local police will arrive at your location with an arrest warrant.",digital_arrest
"Hey man, what time are we meeting for dinner tonight?",safe
